season_number,episode_number,contestant_id,contestant_name,episode_placement
7,1,78,Jaidynn Diore Fierce,SAFE
7,1,80,Max,SAFE
7,1,85,Kandy Ho,BTM2
7,1,83,Mrs. Kasha Davis,SAFE
7,1,82,Jasmine Masters,LOW
7,1,88,Sasha Belle,LOW
7,1,89,Tempest DuJour,ELIM
7,2,79,Violet Chachki,HIGH
7,2,77,Ginger Minj,WIN
7,2,86,Pearl,SAFE
7,2,87,Kennedy Davenport,SAFE
7,2,81,Katya,BTM2
7,2,84,Trixie Mattel,SAFE
7,2,76,Miss Fame,LOW
7,2,78,Jaidynn Diore Fierce,SAFE
7,2,80,Max,SAFE
7,2,85,Kandy Ho,SAFE
7,2,83,Mrs. Kasha Davis,HIGH
7,2,82,Jasmine Masters,SAFE
7,2,88,Sasha Belle,ELIM
7,3,79,Violet Chachki,SAFE
7,3,77,Ginger Minj,HIGH
7,3,86,Pearl,LOW
7,3,87,Kennedy Davenport,BTM2
7,3,81,Katya,SAFE
7,3,84,Trixie Mattel,HIGH
7,3,76,Miss Fame,HIGH
7,3,78,Jaidynn Diore Fierce,HIGH
7,3,80,Max,WIN
7,3,85,Kandy Ho,SAFE
7,3,83,Mrs. Kasha Davis,HIGH
7,3,82,Jasmine Masters,ELIM
7,4,79,Violet Chachki,SAFE
7,4,77,Ginger Minj,SAFE
7,4,86,Pearl,BTM2
7,4,87,Kennedy Davenport,WIN
7,4,81,Katya,HIGH
7,4,84,Trixie Mattel,ELIM
7,4,76,Miss Fame,SAFE
7,4,78,Jaidynn Diore Fierce,HIGH
7,4,80,Max,SAFE
7,4,85,Kandy Ho,LOW
7,4,83,Mrs. Kasha Davis,SAFE
7,5,79,Violet Chachki,LOW
7,5,77,Ginger Minj,SAFE
7,5,86,Pearl,WIN
7,5,87,Kennedy Davenport,SAFE
7,5,81,Katya,SAFE
7,5,76,Miss Fame,SAFE
7,5,78,Jaidynn Diore Fierce,SAFE
7,5,80,Max,WIN
7,5,85,Kandy Ho,BTM2
7,5,83,Mrs. Kasha Davis,ELIM
7,6,79,Violet Chachki,SAFE
7,6,77,Ginger Minj,HIGH
7,6,86,Pearl,SAFE
7,6,87,Kennedy Davenport,HIGH
7,6,81,Katya,WIN
7,6,76,Miss Fame,LOW
7,6,78,Jaidynn Diore Fierce,BTM2
7,6,80,Max,SAFE
7,6,85,Kandy Ho,ELIM
7,7,79,Violet Chachki,SAFE
7,7,77,Ginger Minj,WIN
7,7,86,Pearl,SAFE
7,7,87,Kennedy Davenport,WIN
7,7,81,Katya,HIGH
7,7,76,Miss Fame,LOW
7,7,78,Jaidynn Diore Fierce,BTM2
7,7,80,Max,ELIM
7,8,79,Violet Chachki,HIGH
7,8,77,Ginger Minj,BTM2
7,8,86,Pearl,WIN
7,8,87,Kennedy Davenport,SAFE
7,8,81,Katya,HIGH
7,8,84,Trixie Mattel,WIN
7,8,76,Miss Fame,LOW
7,8,78,Jaidynn Diore Fierce,ELIM
7,8,80,Max,OUT
