season_number,contestant_entrance,contestant_id,contestant_name,age,hometown_city,hometown_state,season_outcome,handle_instagram,handle_twitter
10,5,120,Blair St. Clair,22,Indianapolis,Indiana,9,blairst.clair,BlairStClair
10,6,121,Monét X Change,27,The Bronx,New York,6,monetxchange,monetxchange
10,7,122,Kameron Michaels,31,Nashville,Tennessee,2,kameronmichaels,KameronMichaels
10,8,123,Mayhem Miller,35,Riverside,California,10,theonlymayhem,TheOnlyMayhem
10,9,124,Kalorie Karbdashian Williams,27,Albuquerque,New Mexico,13,kalkarbdashianw,kalKARBdashianw
10,10,125,Monique Heart,31,Kansas City,Missouri,8,iammoniqueheart,IAmMoniqueHeart
10,11,126,Dusty Ray Bottoms,29,New York,New York,11,dustyray,DustyRayBottoms
10,12,127,The Vixen,26,Chicago,Illinois,7,thevixensworld,TheVixensworld
10,13,128,Vanessa Vanjie Mateo,25,Tampa,Florida,14,vanessavanjie,VanessaVanjie
10,14,129,Aquaria,21,Brooklyn,New York,1,ageofaquaria,aquariaofficial
11,1,130,Vanessa Vanjie Mateo,26,Tampa,Florida,5,vanessavanjie,VanessaVanjie
11,2,131,Nina West,39,Columbus,Ohio,6,ninawest,NinaWest
11,3,132,Shuga Cain,40,New York,New York,7,missshugacain,missshugacain
11,4,133,Plastique Tiara,21,Southlake,Texas,8,plastiquetiara,plastiquetiara
11,5,134,Mercedes Iman Diamond,31,Minneapolis,Minnesota,12,mercedesimandiamond,mercedesiman
11,6,135,Scarlet Envy,26,Brooklyn,New York,10,scarletenvy,scarletenvynyc
11,7,136,Honey Davenport,32,New York,New York,13,honeydavenportofficial,honey_davenport
11,8,137,A'keria Chanel Davenport,30,Dallas,Texas,3,mizakeriachanel,a_doublec_d
11,9,138,Yvie Oddly,24,Denver,Colorado,1,oddlyyvie,oddlyyvie
11,10,139,Silky Nutmeg Ganache,28,Chicago,Illinois,3,silkyganache,GanacheSilky
11,11,140,Brooke Lynn Hytes,32,Nashville,Tennessee,2,bhytes,bhytes1
11,12,141,Ariel Versace,26,Cherry Hill,New Jersey,11,arielversace,arielversace
11,13,142,Ra'jah D. O'Hara,33,Dallas,Texas,9,therajahoharashow,RaJahOHara
11,14,143,Kahanna Montrese,25,Las Vegas,Nevada,14,kahannamontrese,kahannamontrese
11,15,144,Soju,27,Chicago,Illinois,15,shotwithsoju,shotwithsoju
