contestant_id,contestant_name,season_number,episode_number,season_outcome,episode_placement,episode_title,episode_airdate,episode_type,episode_maxi_challenge_type,contestant_entrance,age,hometown_city,hometown_state,handle_instagram,handle_twitter
14,Sahara Davenport,2,5,7,BTM2,Here Comes the Bride,2010-03-01,Competition,Sewing,5,25,New York,New York,,
15,Morgan McMichaels,2,5,8,ELIM,Here Comes the Bride,2010-03-01,Competition,Sewing,6,28,Mira Loma,California,morganmcmichaels,morganmcmichael
17,Jessica Wild,2,5,6,HIGH,Here Comes the Bride,2010-03-01,Competition,Sewing,8,29,San Juan,Puerto Rico,jessicawild88,JessicaWild88
19,Tatianna,2,5,4,SAFE,Here Comes the Bride,2010-03-01,Competition,Sewing,10,21,Falls Church,Virginia,tatiannagram,TATIANNANOW
20,Pandora Boxx,2,5,5,LOW,Here Comes the Bride,2010-03-01,Competition,Sewing,11,37,Rochester,New York,pandoraboxx,ThePandoraBoxx
21,Tyra Sanchez,2,5,1,WIN,Here Comes the Bride,2010-03-01,Competition,Sewing,12,21,Orlando,Florida,,
12,Raven,2,6,2,HIGH,Rocker Chicks,2010-03-08,Competition,Singing,3,30,Riverside,California,itsravenhunty_,RavenHUNTY
13,Jujubee,2,6,3,BTM2,Rocker Chicks,2010-03-08,Competition,Singing,4,25,Boston,Massachusetts,jujubeeonline,jujuboston
14,Sahara Davenport,2,6,7,ELIM,Rocker Chicks,2010-03-08,Competition,Singing,5,25,New York,New York,,
17,Jessica Wild,2,6,6,WIN,Rocker Chicks,2010-03-08,Competition,Singing,8,29,San Juan,Puerto Rico,jessicawild88,JessicaWild88
19,Tatianna,2,6,4,SAFE,Rocker Chicks,2010-03-08,Competition,Singing,10,21,Falls Church,Virginia,tatiannagram,TATIANNANOW
20,Pandora Boxx,2,6,5,HIGH,Rocker Chicks,2010-03-08,Competition,Singing,11,37,Rochester,New York,pandoraboxx,ThePandoraBoxx
21,Tyra Sanchez,2,6,1,LOW,Rocker Chicks,2010-03-08,Competition,Singing,12,21,Orlando,Florida,,
12,Raven,2,7,2,WIN,Once Upon a Queen,2010-03-22,Competition,Personal Branding,3,30,Riverside,California,itsravenhunty_,RavenHUNTY
13,Jujubee,2,7,3,HIGH,Once Upon a Queen,2010-03-22,Competition,Personal Branding,4,25,Boston,Massachusetts,jujubeeonline,jujuboston
17,Jessica Wild,2,7,6,ELIM,Once Upon a Queen,2010-03-22,Competition,Personal Branding,8,29,San Juan,Puerto Rico,jessicawild88,JessicaWild88
19,Tatianna,2,7,4,BTM2,Once Upon a Queen,2010-03-22,Competition,Personal Branding,10,21,Falls Church,Virginia,tatiannagram,TATIANNANOW
20,Pandora Boxx,2,7,5,LOW,Once Upon a Queen,2010-03-22,Competition,Personal Branding,11,37,Rochester,New York,pandoraboxx,ThePandoraBoxx
21,Tyra Sanchez,2,7,1,HIGH,Once Upon a Queen,2010-03-22,Competition,Personal Branding,12,21,Orlando,Florida,,
12,Raven,2,8,2,WIN,Golden Gals,2010-03-29,Competition,Makeover,3,30,Riverside,California,itsravenhunty_,RavenHUNTY
13,Jujubee,2,8,3,BTM2,Golden Gals,2010-03-29,Competition,Makeover,4,25,Boston,Massachusetts,jujubeeonline,jujuboston
19,Tatianna,2,8,4,HIGH,Golden Gals,2010-03-29,Competition,Makeover,10,21,Falls Church,Virginia,tatiannagram,TATIANNANOW
20,Pandora Boxx,2,8,5,ELIM,Golden Gals,2010-03-29,Competition,Makeover,11,37,Rochester,New York,pandoraboxx,ThePandoraBoxx
21,Tyra Sanchez,2,8,1,HIGH,Golden Gals,2010-03-29,Competition,Makeover,12,21,Orlando,Florida,,
12,Raven,2,9,2,HIGH,The Diva Awards,2010-04-12,Competition,Ball,3,30,Riverside,California,itsravenhunty_,RavenHUNTY
13,Jujubee,2,9,3,BTM2,The Diva Awards,2010-04-12,Competition,Ball,4,25,Boston,Massachusetts,jujubeeonline,jujuboston
19,Tatianna,2,9,4,ELIM,The Diva Awards,2010-04-12,Competition,Ball,10,21,Falls Church,Virginia,tatiannagram,TATIANNANOW
21,Tyra Sanchez,2,9,1,WIN,The Diva Awards,2010-04-12,Competition,Ball,12,21,Orlando,Florida,,
12,Raven,2,11,2,Runner-up,Grand Finale,2010-04-26,Finale,,3,30,Riverside,California,itsravenhunty_,RavenHUNTY
13,Jujubee,2,11,3,Eliminated,Grand Finale,2010-04-26,Finale,,4,25,Boston,Massachusetts,jujubeeonline,jujuboston
21,Tyra Sanchez,2,11,1,Winner,Grand Finale,2010-04-26,Finale,,12,21,Orlando,Florida,,
10,Nicole Paige Brooks,2,12,11,Guest,Reunion,2010-04-26,Reunion,,1,36,Atlanta,Georgia,nicolepaigebrooks,nicolepbrooks
11,Shangela Laquifa Wadley,2,12,12,Guest,Reunion,2010-04-26,Reunion,,2,28,Los Angeles,California,itsshangela,itsSHANGELA
12,Raven,2,12,2,Guest,Reunion,2010-04-26,Reunion,,3,30,Riverside,California,itsravenhunty_,RavenHUNTY
13,Jujubee,2,12,3,Guest,Reunion,2010-04-26,Reunion,,4,25,Boston,Massachusetts,jujubeeonline,jujuboston
14,Sahara Davenport,2,12,7,Guest,Reunion,2010-04-26,Reunion,,5,25,New York,New York,,
15,Morgan McMichaels,2,12,8,Guest,Reunion,2010-04-26,Reunion,,6,28,Mira Loma,California,morganmcmichaels,morganmcmichael
16,Mystique Summers Madison,2,12,10,Guest,Reunion,2010-04-26,Reunion,,7,25,Bedford,Texas,mystiquesummers,MystiqueSummers
17,Jessica Wild,2,12,6,Guest,Reunion,2010-04-26,Reunion,,8,29,San Juan,Puerto Rico,jessicawild88,JessicaWild88
18,Sonique,2,12,9,Guest,Reunion,2010-04-26,Reunion,,9,26,Atlanta,Georgia,xosonique,xoSonique
19,Tatianna,2,12,4,Guest,Reunion,2010-04-26,Reunion,,10,21,Falls Church,Virginia,tatiannagram,TATIANNANOW
20,Pandora Boxx,2,12,5,Miss C,Reunion,2010-04-26,Reunion,,11,37,Rochester,New York,pandoraboxx,ThePandoraBoxx
21,Tyra Sanchez,2,12,1,Guest,Reunion,2010-04-26,Reunion,,12,21,Orlando,Florida,,
22,Delta Work,3,2,7,SAFE,The Queen Who Mopped Xmas,2011-01-24,Competition,Sewing,1,34,Norwalk,California,deltawork,
23,Carmen Carrera,3,2,5,LOW,The Queen Who Mopped Xmas,2011-01-24,Competition,Sewing,2,25,Elmwood Park,New Jersey,carmen_carrera,Carmen_Carrera
24,Phoenix,3,2,12,SAFE,The Queen Who Mopped Xmas,2011-01-24,Competition,Sewing,3,29,Atlanta,Georgia,phoenix_atl,Phoenix_atl
